Date,ad_line
2023-01-02,8723
2023-01-03,8556
2023-01-04,8960
2023-01-05,9079
2023-01-06,9423
2023-01-09,10110
2023-01-10,10155
2023-01-11,10499
2023-01-12,10625
2023-01-13,10804
2023-01-16,10954
2023-01-17,10589
2023-01-18,10348
2023-01-19,10467
2023-01-20,10780
2023-01-25,10985
2023-01-26,11346
2023-01-27,11614
2023-01-30,11205
2023-01-31,11328
2023-02-01,11491
2023-02-02,11830
2023-02-03,11761
2023-02-06,11713
2023-02-07,11602
2023-02-08,11899
2023-02-09,11762
2023-02-10,11444
2023-02-13,11258
2023-02-14,11374
2023-02-15,10695
2023-02-16,11150
2023-02-17,11060
2023-02-20,11302
2023-02-21,11523
2023-02-22,10925
2023-02-23,11063
2023-02-24,10641
2023-02-27,10214
2023-02-28,10356
2023-03-02,10465
2023-03-03,10529
2023-03-06,10525
2023-03-07,10573
2023-03-08,10092
2023-03-09,10024
2023-03-10,9377
2023-03-13,8985
2023-03-14,8171
2023-03-15,8694
2023-03-16,8261
2023-03-17,8692
2023-03-20,8703
2023-03-21,8680
2023-03-22,8495
2023-03-23,8071
2023-03-24,8136
2023-03-27,7909
2023-03-28,8402
2023-03-29,8641
2023-03-30,8947
2023-03-31,9014
2023-04-03,9146
2023-04-04,9520
2023-04-05,9483
2023-04-06,8978
2023-04-07,8998
2023-04-10,8557
2023-04-11,9036
2023-04-12,9404
2023-04-13,9610
2023-04-14,9950
2023-04-17,10057
2023-04-18,9804
2023-04-19,10118
2023-04-20,9708
2023-04-21,9318
2023-04-24,8836
2023-04-25,8458
2023-04-26,8231
2023-04-27,8169
2023-04-28,8145
2023-05-02,8532
2023-05-03,8350
2023-05-04,8347
2023-05-08,8614
2023-05-09,8468
2023-05-10,8391
2023-05-11,8538
2023-05-12,8132
2023-05-15,7904
2023-05-16,7654
2023-05-17,7887
2023-05-18,8185
2023-05-19,8385
2023-05-22,8781
2023-05-23,8789
2023-05-24,8724
2023-05-25,8234
2023-05-26,7759
2023-05-30,7815
2023-05-31,7568
2023-06-01,7564
2023-06-02,7898
2023-06-05,8337
2023-06-07,8322
2023-06-08,8187
2023-06-09,8309
2023-06-12,8049
2023-06-13,7970
2023-06-14,7553
2023-06-15,7178
2023-06-16,7510
2023-06-19,7578
2023-06-20,7364
2023-06-21,6899
2023-06-22,6765
2023-06-23,6232
2023-06-26,6339
2023-06-27,6346
2023-06-28,6208
2023-06-29,5635
2023-06-30,5993
2023-07-03,6327
2023-07-04,6037
2023-07-05,5664
2023-07-06,5075
2023-07-07,4646
2023-07-10,4620
2023-07-11,4993
2023-07-12,5125
2023-07-13,5193
2023-07-14,5225
2023-07-17,5076
2023-07-18,4539
2023-07-19,4218
2023-07-20,4249
2023-07-21,4096
2023-07-24,3435
2023-07-25,3022
2023-07-26,2211
2023-07-27,2754
2023-07-28,3133
2023-07-31,3659
2023-08-01,4027
2023-08-02,3604
2023-08-03,3433
2023-08-04,3631
2023-08-07,3478
2023-08-08,3091
2023-08-09,3324
2023-08-10,3416
2023-08-11,3643
2023-08-14,3336
2023-08-16,2699
2023-08-17,2300
2023-08-18,2139
2023-08-21,2159
2023-08-22,2039
2023-08-23,1906
2023-08-24,2120
2023-08-25,1995
2023-08-28,2560
2023-08-29,2924
2023-08-30,2992
2023-08-31,2829
2023-09-01,2588
2023-09-04,2583
2023-09-05,2386
2023-09-06,2092
2023-09-07,1579
2023-09-08,1921
2023-09-11,2066
2023-09-12,1662
2023-09-13,1432
2023-09-14,1786
2023-09-15,2181
2023-09-18,1959
2023-09-19,1686
2023-09-20,1523
2023-09-21,854
2023-09-22,550
2023-09-25,122
2023-09-26,-462
2023-09-27,-80
2023-10-04,-828
2023-10-05,-1109
2023-10-06,-680
2023-10-10,-1042
2023-10-11,-512
2023-10-12,-35
2023-10-13,-347
2023-10-16,-736
2023-10-17,-442
2023-10-18,-526
2023-10-19,-1234
2023-10-20,-1855
2023-10-23,-2161
2023-10-24,-1777
2023-10-25,-1439
2023-10-26,-2184
2023-10-27,-2153
2023-10-30,-1846
2023-10-31,-2233
2023-11-01,-1857
2023-11-02,-1380
2023-11-03,-831
2023-11-06,-251
2023-11-07,-646
2023-11-08,-771
2023-11-09,-781
2023-11-10,-1129
2023-11-13,-1430
2023-11-14,-908
2023-11-15,-308
2023-11-16,-78
2023-11-17,-421
2023-11-20,1
2023-11-21,323
2023-11-22,329
2023-11-23,260
2023-11-24,302
2023-11-27,128
2023-11-28,166
2023-11-29,-147
2023-11-30,87
2023-12-01,-26
2023-12-04,29
2023-12-05,-126
2023-12-06,0
2023-12-07,-173
2023-12-08,36
2023-12-11,139
2023-12-12,91
2023-12-13,-224
2023-12-14,-162
2023-12-15,-46
2023-12-18,-22
2023-12-19,-180
2023-12-20,289
2023-12-21,-69
2023-12-22,-64
2023-12-26,-178
2023-12-27,-465
2023-12-28,6
2024-01-02,0
2024-01-03,-320
2024-01-04,-654
2024-01-05,-822
2024-01-08,-961
2024-01-09,-680
2024-01-10,-874
2024-01-11,-879
2024-01-12,-1226
2024-01-15,-1491
2024-01-16,-1907
2024-01-17,-2673
2024-01-18,-2696
2024-01-19,-2525
2024-01-22,-2800
2024-01-23,-2700
2024-01-24,-3032
2024-01-25,-3057
2024-01-26,-2823
2024-01-29,-2665
2024-01-30,-2560
2024-01-31,-2735
2024-02-01,-2312
2024-02-02,-1785
2024-02-05,-1812
2024-02-06,-2149
2024-02-07,-1756
2024-02-08,-1745
2024-02-13,-1439
2024-02-14,-1565
2024-02-15,-1774
2024-02-16,-1400
2024-02-19,-1050
2024-02-20,-1357
2024-02-21,-1595
2024-02-22,-1757
2024-02-23,-1931
2024-02-26,-2353
2024-02-27,-2947
2024-02-28,-2685
2024-02-29,-2889
2024-03-04,-2892
2024-03-05,-3213
2024-03-06,-3406
2024-03-07,-3690
2024-03-08,-3522
2024-03-11,-3684
2024-03-12,-3811
2024-03-13,-3796
2024-03-14,-3660
2024-03-15,-3885
2024-03-18,-3898
2024-03-19,-4218
2024-03-20,-4119
2024-03-21,-3684
2024-03-22,-3582
2024-03-25,-3766
2024-03-26,-3715
2024-03-27,-3850
2024-03-28,-4118
2024-03-29,-4448
2024-04-01,-4167
2024-04-02,-4610
2024-04-03,-4998
2024-04-04,-5040
2024-04-05,-5422
2024-04-08,-5732
2024-04-09,-5855
2024-04-11,-6193
2024-04-12,-6331
2024-04-15,-6607
2024-04-16,-7247
2024-04-17,-7298
2024-04-18,-6658
2024-04-19,-7048
2024-04-22,-6617
2024-04-23,-6549
2024-04-24,-6214
2024-04-25,-6344
2024-04-26,-6300
2024-04-29,-5752
2024-04-30,-5722
2024-05-02,-5879
2024-05-03,-5957
2024-05-07,-5661
2024-05-08,-5365
2024-05-09,-5542
2024-05-10,-5420
2024-05-13,-5524
2024-05-14,-5338
2024-05-16,-5153
2024-05-17,-5422
2024-05-20,-5491
2024-05-21,-5780
2024-05-22,-5854
2024-05-23,-6035
2024-05-24,-6390
2024-05-27,-6407
2024-05-28,-6475
2024-05-29,-6926
2024-05-30,-7401
2024-05-31,-7203
2024-06-03,-6818
2024-06-04,-7226
2024-06-05,-7245
